Data;DataHora;Grupo;Transportadora;ChaveNFe;NumeroNF;ShipmentOrderID;UF;FaixaPeso;PesoRealKg;ValorCobrado;ValorEBBEstimado;Economia
2026-06-08;2026-06-08 11:40:37.033;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932171356548413;393217;31688111;RS;20-30kg;20.96586;117.27;344.2204545454546;226.9504545454546
2026-06-08;2026-06-08 16:45:15.070;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;35260601336140000521550000057373931103107715;5737393;31693825;RS;10-20kg;17.40375;86.62;359.7268;273.1068
2026-06-08;2026-06-08 16:45:15.070;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003920351781998575;392035;31693871;PR;30kg+;268.5312;418.05;537.3662837837838;119.31628378378383
2026-06-08;2026-06-08 16:50:14.480;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003935951735789420;393595;31694318;RS;10-20kg;12.445524;95.11;359.7268;264.6168
2026-06-09;2026-06-09 21:20:13.463;Todo Brasil / Dominalog -> Sul/Sudeste;TODOBRASIL;31260601336140000874550010003777011723049142;377701;31705047;SP;10-20kg;18.09;189.05;377.716496350365;188.66649635036498
2026-06-10;2026-06-10 16:08:57.677;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932211567082816;393221;31710923;PR;20-30kg;20.96586;103.52;295.78093023255815;192.26093023255817
2026-06-10;2026-06-10 16:40:18.317;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932201463814368;393220;31711363;MG;20-30kg;20.96586;164.5;374.3104225352113;209.81042253521127
2026-06-11;2026-06-11 07:30:25.557;Todo Brasil / Dominalog -> Sul/Sudeste;TODOBRASIL;31260701336140000874550010003879631477157283;387963;31714993;SP;10-20kg;18.09;191.14;377.716496350365;186.576496350365
2026-06-11;2026-06-11 08:30:35.157;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003756731922878445;375673;31715197;MG;10-20kg;18.09;136.45;349.35677966101696;212.90677966101697
2026-06-11;2026-06-11 11:30:19.450;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932241001511070;393224;31716591;PR;20-30kg;20.96586;94.86;295.78093023255815;200.92093023255813
2026-06-15;2026-06-15 12:07:38.950;Todo Brasil / Dominalog -> Sul/Sudeste;TODOBRASIL;31260701336140000874550010004178451665823965;417845;31743660;SP;30kg+;268.5312;495.77;397.9043069948186;-97.86569300518136
2026-06-15;2026-06-15 15:30:30.000;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123001883869094;412300;31746361;PR;10-20kg;12.445524;99.01;315.1783870967742;216.1683870967742
2026-06-15;2026-06-15 22:00:28.967;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003920421549340978;392042;31749520;RS;10-20kg;16.37;113.59;359.7268;246.13680000000002
2026-06-15;2026-06-15 22:00:28.967;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932341970279833;393234;31749530;SC;20-30kg;20.96586;104.76;302.3036363636364;197.54363636363638
2026-06-15;2026-06-15 22:00:28.967;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003835051236467180;383505;31749551;RS;10-20kg;18.54666;100.98;359.7268;258.7468
2026-06-16;2026-06-16 10:00:33.697;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003826151862834630;382615;31752251;SC;10-20kg;12.445524;94.05;333.5888235294118;239.5388235294118
2026-06-16;2026-06-16 12:10:32.373;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932431736624650;393243;31753819;RS;20-30kg;20.96586;110.56;344.2204545454546;233.66045454545457
2026-06-16;2026-06-16 15:55:17.380;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123291380101496;412329;31758189;SC;10-20kg;12.445524;94.05;333.5888235294118;239.5388235294118
2026-06-17;2026-06-17 00:00:30.787;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003936521533353440;393652;31761975;PR;10-20kg;18.09;89.85;315.1783870967742;225.3283870967742
2026-06-17;2026-06-17 20:09:38.867;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932271164805198;393227;31769380;PR;20-30kg;20.96586;111.48;295.78093023255815;184.30093023255813
2026-06-18;2026-06-18 11:00:25.670;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004122291688532704;412229;31776288;PR;20-30kg;20.96586;111.81;295.78093023255815;183.97093023255815
2026-06-18;2026-06-18 15:20:22.463;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003935641636494352;393564;31778836;ES;10-20kg;17.577;118.66;282.106;163.446
2026-06-18;2026-06-18 16:11:22.173;Todo Brasil / Dominalog -> Sul/Sudeste;TODOBRASIL;35260801336140000521550000058315691346951315;5831569;31780431;SP;30kg+;181.272;353.76;397.9043069948186;44.144306994818635
2026-06-19;2026-06-19 16:55:20.387;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003936681629866414;393668;31790556;SC;10-20kg;17.577;94.07;333.5888235294118;239.5188235294118
2026-06-19;2026-06-19 20:00:33.023;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932361353682084;393236;31792655;PR;20-30kg;20.96586;111.81;295.78093023255815;183.97093023255815
2026-06-21;2026-06-21 02:20:16.810;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003831711862897620;383171;31797663;PR;20-30kg;22.9908;97.4;295.78093023255815;198.38093023255814
2026-06-22;2026-06-22 09:50:34.467;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932381911844987;393238;31804636;MG;20-30kg;20.96586;164.5;374.3104225352113;209.81042253521127
2026-06-22;2026-06-22 11:10:19.197;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004122101009417238;412210;31805261;RS;10-20kg;12.445524;95.11;359.7268;264.6168
2026-06-22;2026-06-22 12:10:02.720;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003832761637393778;383276;31806001;PR;20-30kg;22.9908;113.19;295.78093023255815;182.59093023255815
2026-06-22;2026-06-22 15:10:19.193;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932321091734253;393232;31807378;RS;20-30kg;20.96586;117.6;344.2204545454546;226.62045454545458
2026-06-22;2026-06-22 17:08:18.137;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004122531189434010;412253;31808469;SC;10-20kg;12.445524;93.25;333.5888235294118;240.3388235294118
2026-06-22;2026-06-22 19:50:18.443;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003777701071230891;377770;31809733;RS;30kg+;50.703;357.27;639.6241803278688;282.3541803278688
2026-06-22;2026-06-22 20:05:41.190;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003816681613161150;381668;31809867;RS;5-10kg;8.53116;81.27;318.49285714285713;237.22285714285715
2026-06-23;2026-06-23 15:50:14.817;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003991591492138282;399159;31815216;PR;10-20kg;17.577;94.83;315.1783870967742;220.34838709677422
2026-06-24;2026-06-24 06:25:32.750;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123651377948757;412365;31818668;SP;10-20kg;12.445524;102.57;377.716496350365;275.146496350365
2026-06-24;2026-06-24 07:50:20.177;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123601155058554;412360;31818889;PR;10-20kg;12.445524;99.01;315.1783870967742;216.1683870967742
2026-06-24;2026-06-24 10:30:25.297;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123731429652235;412373;31819654;PR;20-30kg;20.96586;103.52;295.78093023255815;192.26093023255817
2026-06-24;2026-06-24 11:35:14.240;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003932481931815458;393248;31820230;RS;20-30kg;20.96586;110.23;344.2204545454546;233.99045454545455
2026-06-25;2026-06-25 15:08:20.647;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003916401938105876;391640;31827927;RS;30kg+;66.09867;191.01;639.6241803278688;448.6141803278688
2026-06-25;2026-06-25 16:20:22.367;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123201194200417;412320;31828512;PR;20-30kg;20.96586;111.81;295.78093023255815;183.97093023255815
