Regra;Descricao;Categoria
389;Bloqueio bebidas, powerbank e perfume para Gol;Regra operacional
390;Bloqueio bebidas, powerbank e perfume para Gol 2;Regra operacional
391;Bloqueio Gol, bebidas, perfumes e powerbank 3;Regra operacional
392;Bloqueio Gol, bebidas, perfumes e powerbank 3;Regra operacional
393;Bloquear a Jalod em pedidos ate 10kg - Inativo;Ganho Imediato - Já realizado
394;Bloquear ebb para mcpor;Regra operacional
395;Liberar a transportadora stone para campanha STOLJ, ela atenderá pedidos com o peso inferior a 30kg;Oportunidade
396;Bloquear a transportadora stone para pedidos com o peso acima de 30kg;Oportunidade
397;A transportadora stone só poderá trabalhar com a campanha STOLJ;Oportunidade
398;Bloquei imile VGP inicio - Inativo;Ganho Imediato - Já realizado
400;Não deixar que a transportadora Stone retorne para pedidos expressos, exceto campanha STOLJ;Regra operacional
401;Bloquieo campanhas azul para gol;Regra operacional
402;Bloqueia EBB em tudo exceto Heineken e HUb;Regra operacional
404;Bloqueia Gol de todas as campanhas para pesados, exceto heist;Regra operacional
405;bloqueio EBB;Regra operacional
406;bloqueio EBB;Regra operacional
407;bloqueio ebb;Regra operacional
408;Bloqueio EBB;Regra operacional
409;Bloqueio campanhas prioritarias em correios ;Oportunidade
410;Bloqueio campanhas prioritarias em correios ;Oportunidade
411;Atrus - Apenas HEIST;Regra operacional
412;Bloqueio iMile VGP - Inativo;Ganho Imediato - Já realizado
416;Bloqueio da jad em MG ate 10kg - Inativo;Ganho Imediato - Já realizado
417;Bloqueio da Jad em VGP ate 10kg - Inativo;Ganho Imediato - Já realizado
419;Bloqueio da Jad nv Brasil, origem Cotia, exceto Sul e Sudeste - Inativo;Ganho Imediato - Já realizado
420;Peso minimo J&T origem Cotia;Ganho Imediato
421;Peso minimo J&T origem MG;Ganho Imediato
422;Peso minimo J&T VGP;Ganho Imediato
423;Bloqueio J&T peso minimo Serra;Ganho Imediato
424;Bloquieo de HUB09 em Pacifico, Dominalog, Jadlog, Gol e J&T em HUB09 origem VGP;Oportunidade
